id,name,year,price,mileage,transmission,fuel,image,gallery,badge,isAvailable
1,Audi RS7 Carbon Optic Exclusive,2018,88 900 CAD,"82,323 km",Automatique,Essence,/Cars/AudiRS7/IMG-20250720-WA0029.jpg,"['/Cars/AudiRS7/IMG-20250720-WA0030.jpg', '/Cars/AudiRS7/IMG-20250720-WA0031.jpg', '/Cars/AudiRS7/IMG-20250720-WA0032.jpg', '/Cars/AudiRS7/IMG-20250720-WA0043.jpg', '/Cars/AudiRS7/IMG-20250720-WA0044.jpg', '/Cars/AudiRS7/IMG-20250720-WA0045.jpg', '/Cars/AudiRS7/IMG-20250720-WA0046.jpg']",Disponible,True
2,Mercedes C63 P31 Package,2013,41 099 CAD,"73,000 km",Automatique,Essence,/Cars/MercedesC63/IMG-20250814-WA0022.jpg,"['/Cars/MercedesC63/IMG-20250814-WA0017.jpg', '/Cars/MercedesC63/IMG-20250814-WA0018.jpg', '/Cars/MercedesC63/IMG-20250814-WA0019.jpg', '/Cars/MercedesC63/IMG-20250814-WA0020.jpg', '/Cars/MercedesC63/IMG-20250814-WA0021.jpg', '/Cars/MercedesC63/IMG-20250814-WA0023.jpg', '/Cars/MercedesC63/IMG-20250814-WA0024.jpg', '/Cars/MercedesC63/IMG-20250814-WA0025.jpg', '/Cars/MercedesC63/IMG-20250814-WA0026.jpg']",Vendu,False
3,Ford Edge,2014,11 500 CAD,"147,000 km",Automatique,Essence,/Cars/FordEdge/IMG-20250914-WA0038.jpg,"['/Cars/FordEdge/IMG-20250914-WA0031.jpg', '/Cars/FordEdge/IMG-20250914-WA0032.jpg', '/Cars/FordEdge/IMG-20250914-WA0035.jpg', '/Cars/FordEdge/IMG-20250914-WA0036.jpg', '/Cars/FordEdge/IMG-20250914-WA0037.jpg', '/Cars/FordEdge/IMG-20250914-WA0039.jpg', '/Cars/FordEdge/IMG-20250914-WA0040.jpg', '/Cars/FordEdge/IMG-20250914-WA0041.jpg', '/Cars/FordEdge/IMG-20250914-WA0042.jpg', '/Cars/FordEdge/IMG-20250914-WA0043.jpg', '/Cars/FordEdge/IMG-20250914-WA0044.jpg', '/Cars/FordEdge/IMG-20250914-WA0045.jpg', '/Cars/FordEdge/IMG-20250914-WA0046.jpg']",Disponible,True
4,Volvo XC90,2005,5 750 CAD,"141,000 km",Automatique,Essence,/Cars/VolvoXC90/IMG-20250808-WA0012.jpg,"['/Cars/VolvoXC90/IMG-20250808-WA0011.jpg', '/Cars/VolvoXC90/IMG-20250808-WA0013.jpg', '/Cars/VolvoXC90/IMG-20250808-WA0014.jpg', '/Cars/VolvoXC90/IMG-20250808-WA0015.jpg', '/Cars/VolvoXC90/IMG-20250808-WA0016.jpg', '/Cars/VolvoXC90/IMG-20250808-WA0017.jpg', '/Cars/VolvoXC90/IMG-20250808-WA0018.jpg', '/Cars/VolvoXC90/IMG-20250808-WA0019.jpg']",Disponible,True
5,Chrysler 300C,2014,14 800 CAD,"141,430 km",Automatique,Essence,/Cars/Chrysler300C/A2.JPG,"['/Cars/Chrysler300C/A1.JPG', '/Cars/Chrysler300C/A3.JPG', '/Cars/Chrysler300C/A4.JPG', '/Cars/Chrysler300C/A5.JPG', '/Cars/Chrysler300C/A6.JPG', '/Cars/Chrysler300C/A7.JPG', '/Cars/Chrysler300C/A8.JPG']",Disponible,True
6,Ford Fusion,2012,4 200 CAD,163 000 km,Automatique,Essence,/Cars/FordFusion/B1.JPG,"['/Cars/FordFusion/B2.JPG', '/Cars/FordFusion/B3.JPG', '/Cars/FordFusion/B4.JPG', '/Cars/FordFusion/B5.JPG']",Vendu,False
7,Hummer H3,2006,9 999 CAD,"122,340 km",Automatique,Essence,/Cars/HummerH3/IMG-20250720-WA0012.jpg,"['/Cars/HummerH3/IMG-20250720-WA0007.jpg', '/Cars/HummerH3/IMG-20250720-WA0008.jpg', '/Cars/HummerH3/IMG-20250720-WA0009.jpg', '/Cars/HummerH3/IMG-20250720-WA0010.jpg', '/Cars/HummerH3/IMG-20250720-WA0011.jpg', '/Cars/HummerH3/IMG-20250720-WA0013.jpg', '/Cars/HummerH3/IMG-20250720-WA0014.jpg', '/Cars/HummerH3/IMG-20250720-WA0015.jpg', '/Cars/HummerH3/IMG-20250720-WA0016.jpg']",Vendu,False
8,Nissan Sentra,2012,5 200 CAD,"83,000 km",Automatique,Essence,/Cars/NissanSentra/IMG-20250720-WA0024.jpg,"['/Cars/NissanSentra/IMG-20250720-WA0019.jpg', '/Cars/NissanSentra/IMG-20250720-WA0020.jpg', '/Cars/NissanSentra/IMG-20250720-WA0021.jpg', '/Cars/NissanSentra/IMG-20250720-WA0022.jpg', '/Cars/NissanSentra/IMG-20250720-WA0023.jpg', '/Cars/NissanSentra/IMG-20250720-WA0025.jpg', '/Cars/NissanSentra/IMG-20250720-WA0026.jpg', '/Cars/NissanSentra/IMG-20250720-WA0027.jpg', '/Cars/NissanSentra/IMG-20250720-WA0028.jpg']",Vendu,False
9,Hyundai Elantra,2017,10 900 CAD,"163,800 km",Automatique,Essence,/Cars/HyundaiElantra/E2.JPG,"['/Cars/HyundaiElantra/E1.JPG', '/Cars/HyundaiElantra/E3.JPG', '/Cars/HyundaiElantra/E4.JPG', '/Cars/HyundaiElantra/E5.JPG', '/Cars/HyundaiElantra/E6.JPG', '/Cars/HyundaiElantra/E7.JPG', '/Cars/HyundaiElantra/E8.JPG']",Vendu,False
10,Infiniti QX50,2015,8 950 CAD,"175,000 km",Automatique,Essence,/Cars/InfinitiQX50/IMG-20250720-WA0047.jpg,"['/Cars/InfinitiQX50/IMG-20250720-WA0048.jpg', '/Cars/InfinitiQX50/IMG-20250720-WA0049.jpg', '/Cars/InfinitiQX50/IMG-20250720-WA0050.jpg', '/Cars/InfinitiQX50/IMG-20250720-WA0051.jpg', '/Cars/InfinitiQX50/IMG-20250720-WA0052.jpg', '/Cars/InfinitiQX50/IMG-20250720-WA0053.jpg']",Vendu,False
