web-scraper-order,web-scraper-start-url,status,fuel,transmission,mileage,price,year,title
1761000119-1,https://www.tct.pro/used-vehicles,Disponible,Essence,Automatique,"93,000 km",35 995 CAD,2022,Audi Q5 Progressive S-Line
1761000119-2,https://www.tct.pro/used-vehicles,Disponible,Essence,Automatique,"82,323 km",88 900 CAD,2018,Audi RS7 Carbon Optic Audi Exclusive
1761000119-3,https://www.tct.pro/used-vehicles,Disponible,Essence,Automatique,"151,000 km",13 995 CAD,2017,Bmw 320XI
1761000119-4,https://www.tct.pro/used-vehicles,Disponible,Essence,Automatique,"141,430 km",14 800 CAD,2014,Chrysler 300C
1761000119-5,https://www.tct.pro/used-vehicles,Disponible,Essence,Automatique,"147,000 km",11 500 CAD,2014,Ford Edge
1761000119-6,https://www.tct.pro/used-vehicles,Disponible,Essence,Automatique,"164,546 km",17 895 CAD,2017,Ford Edge Sport
1761000119-7,https://www.tct.pro/used-vehicles,Vendu,Essence,Automatique,163 000 km,4 200 CAD,2012,Ford Fusion
1761000119-8,https://www.tct.pro/used-vehicles,Vendu,Essence,Manuelle,"143,000 km",17 777 CAD,2016,Golf GTI APR Stg 3
1761000119-9,https://www.tct.pro/used-vehicles,Vendu,Essence,Automatique,"88,000 km",23 000 CAD,2023,Honda Civic Black
1761000119-10,https://www.tct.pro/used-vehicles,Vendu,Essence,Automatique,"55,000 km",18 000 CAD,2019,Honda Civic Red
1761000119-11,https://www.tct.pro/used-vehicles,Vendu,Essence,Automatique,"122,340 km",9 999 CAD,2006,Hummer H3
1761000119-12,https://www.tct.pro/used-vehicles,Vendu,Essence,Automatique,"163,800 km",10 900 CAD,2017,Hyundai Elantra
1761000119-13,https://www.tct.pro/used-vehicles,Vendu,Essence,Automatique,"175,000 km",8 950 CAD,2015,Infiniti QX50
1761000119-14,https://www.tct.pro/used-vehicles,Disponible,Essence,Automatique,"93,000 km",19 995 CAD,2020,Kia Sedona
1761000119-15,https://www.tct.pro/used-vehicles,Disponible,Essence,Automatique,"102,000 km",17 995 CAD,2016,Mercedes C300 4MATIC AMG
1761000119-16,https://www.tct.pro/used-vehicles,Vendu,Essence,Automatique,"73,000 km",41 099 CAD,2013,Mercedes C63 P31 Package
1761000119-17,https://www.tct.pro/used-vehicles,Disponible,Essence,Automatique,"104,200 km",13 995 CAD,2014,Nissan Rogue SL
1761000119-18,https://www.tct.pro/used-vehicles,Vendu,Essence,Automatique,"83,000 km",5 200 CAD,2012,Nissan Sentra
1761000119-19,https://www.tct.pro/used-vehicles,Disponible,Diesel,Automatique,"103,000 km",49 999 CAD,2019,Range Rover Super Charged
1761000119-20,https://www.tct.pro/used-vehicles,Disponible,Essence,Automatique,"141,000 km",5 750 CAD,2005,Volvo XC90
