web-scraper-order,web-scraper-start-url,data,data2,data3,data4,image-src,data5,data6,data7,data8,data9,data10
"1761078037-1","https://www.tct.pro/used-vehicles","2022","Voir toutes les photos","35 995 CAD","Audi Q5 Progressive S-Line","/_next/image?url=%2FCars%2FAudiQ5ProgressiveS-Line%2FIMG-20250902-WA0003.jpg&w=3840&q=75","Disponible","Appeler","Réserver un essai","93,000 km","Automatique","Essence"
"1761078037-2","https://www.tct.pro/used-vehicles","2018","Voir toutes les photos","88 900 CAD","Audi RS7 Carbon Optic Exclusive","/_next/image?url=%2FCars%2FAudiRS7%2FIMG-20250720-WA0029.jpg&w=3840&q=75","Disponible","Appeler","Réserver un essai","82,323 km","Automatique","Essence"
"1761078037-3","https://www.tct.pro/used-vehicles","2017","Voir toutes les photos","13 995 CAD","Bmw 320XI","/_next/image?url=%2FCars%2FBmw320XI%2FIMG-20250903-WA0010.jpg&w=3840&q=75","Disponible","Appeler","Réserver un essai","151,000 km","Automatique","Essence"
"1761078037-4","https://www.tct.pro/used-vehicles","2014","Voir toutes les photos","14 800 CAD","Chrysler 300C","/_next/image?url=%2FCars%2FChrysler300C%2FA2.JPG&w=3840&q=75","Disponible","Appeler","Réserver un essai","141,430 km","Automatique","Essence"
"1761078037-5","https://www.tct.pro/used-vehicles","2014","Voir toutes les photos","11 500 CAD","Ford Edge","/_next/image?url=%2FCars%2FFordEdge%2FIMG-20250914-WA0038.jpg&w=3840&q=75","Disponible","Appeler","Réserver un essai","147,000 km","Automatique","Essence"
"1761078037-6","https://www.tct.pro/used-vehicles","2017","Voir toutes les photos","17 895 CAD","Ford Edge Sport","/_next/image?url=%2FCars%2FFordEdgeSport%2FIMG-20250902-WA0022.jpg&w=3840&q=75","Disponible","Appeler","Réserver un essai","164,546 km","Automatique","Essence"
"1761078037-7","https://www.tct.pro/used-vehicles","2012","Voir toutes les photos","4 200 CAD","Ford Fusion","/_next/image?url=%2FCars%2FFordFusion%2FB1.JPG&w=3840&q=75","Vendu","Appeler","Réserver un essai","163 000 km","Automatique","Essence"
"1761078037-8","https://www.tct.pro/used-vehicles","2016","Voir toutes les photos","17 777 CAD","Golf GTI APR Stg 3","/_next/image?url=%2FCars%2FGolfGTIAPRStg3%2FIMG-20250808-WA0001.jpg&w=3840&q=75","Vendu","Appeler","Réserver un essai","143,000 km","Manuelle","Essence"
"1761078037-9","https://www.tct.pro/used-vehicles","2023","Voir toutes les photos","23 000 CAD","Honda Civic Black","/_next/image?url=%2FCars%2FHondaCivicBlack%2FIMG-20250808-WA0023.jpg&w=3840&q=75","Vendu","Appeler","Réserver un essai","88,000 km","Automatique","Essence"
"1761078037-10","https://www.tct.pro/used-vehicles","2019","Voir toutes les photos","18 000 CAD","Honda Civic Red","/_next/image?url=%2FCars%2FHondaCivicRed%2FIMG-20250808-WA0034.jpg&w=3840&q=75","Vendu","Appeler","Réserver un essai","55,000 km","Automatique","Essence"
"1761078037-11","https://www.tct.pro/used-vehicles","2006","Voir toutes les photos","9 999 CAD","Hummer H3","/_next/image?url=%2FCars%2FHummerH3%2FIMG-20250720-WA0012.jpg&w=3840&q=75","Vendu","Appeler","Réserver un essai","122,340 km","Automatique","Essence"
"1761078037-12","https://www.tct.pro/used-vehicles","2017","Voir toutes les photos","10 900 CAD","Hyundai Elantra","/_next/image?url=%2FCars%2FHyundaiElantra%2FE2.JPG&w=3840&q=75","Vendu","Appeler","Réserver un essai","163,800 km","Automatique","Essence"
"1761078037-13","https://www.tct.pro/used-vehicles","2015","Voir toutes les photos","8 950 CAD","Infiniti QX50","/_next/image?url=%2FCars%2FInfinitiQX50%2FIMG-20250720-WA0047.jpg&w=3840&q=75","Vendu","Appeler","Réserver un essai","175,000 km","Automatique","Essence"
"1761078037-14","https://www.tct.pro/used-vehicles","2020","Voir toutes les photos","19 995 CAD","Kia Sedona","/_next/image?url=%2FCars%2FKiaSedona%2FIMG-20250914-WA0033.jpg&w=3840&q=75","Disponible","Appeler","Réserver un essai","93,000 km","Automatique","Essence"
"1761078037-15","https://www.tct.pro/used-vehicles","2016","Voir toutes les photos","17 995 CAD","Mercedes C300 4MATIC AMG","/_next/image?url=%2FCars%2FMercedesC300AMG%2FIMG-20250903-WA0025.jpg&w=3840&q=75","Disponible","Appeler","Réserver un essai","102,000 km","Automatique","Essence"
"1761078037-16","https://www.tct.pro/used-vehicles","2013","Voir toutes les photos","41 099 CAD","Mercedes C63 P31 Package","/_next/image?url=%2FCars%2FMercedesC63%2FIMG-20250814-WA0022.jpg&w=3840&q=75","Vendu","Appeler","Réserver un essai","73,000 km","Automatique","Essence"
