id,name,size,url,title,description,min_cpu,min_gpu,min_ram,rec_cpu,rec_gpu,rec_ram,rating,reviews_count,downloads,views,categories
1,ServiceIT: You can do IT,N/A,https://www.wifi4games.com/pc_games/ServiceIT:_You_can_do_IT.html,تحميل لعبة Service IT: You can do IT,ليصلك كل جديد تابع قناتنا على تيليجرام,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,"اكشن, قتال, استراتيجية, رعب, مغامرات, السباق والسيارات, محاكاة الواقع, رياضة, ذكاء, تصويب, العاب قديمة, خفيفة و مسلية, خيال علمي, نجاة"
2,Dying Light: The Beast,N/A,https://www.wifi4games.com/pc_games/Dying_Light:_The_Beast.html,تحميل لعبة Dying Light: The Beast,ليصلك كل جديد تابع قناتنا على تيليجرام,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,"اكشن, قتال, استراتيجية, رعب, مغامرات, السباق والسيارات, محاكاة الواقع, رياضة, ذكاء, تصويب, العاب قديمة, خفيفة و مسلية, خيال علمي, نجاة"
3,Hollow Knight: Silksong,N/A,https://www.wifi4games.com/pc_games/Hollow_Knight:_Silksong.html,تحميل لعبة هولو نايت: سيلكسونغ Hollow Knight: Silksong,ليصلك كل جديد تابع قناتنا على تيليجرام,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,"اكشن, قتال, استراتيجية, رعب, مغامرات, السباق والسيارات, محاكاة الواقع, رياضة, ذكاء, تصويب, العاب قديمة, خفيفة و مسلية, خيال علمي, نجاة"
4,Need for Speed Pro Street,N/A,https://www.wifi4games.com/pc_games/Need_for_Speed_Pro_Street.html,تحميل لعبة نيد فور سبيد: برو ستريت Need for Speed: Pro Street,ليصلك كل جديد تابع قناتنا على تيليجرام,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,"اكشن, قتال, استراتيجية, رعب, مغامرات, السباق والسيارات, محاكاة الواقع, رياضة, ذكاء, تصويب, العاب قديمة, خفيفة و مسلية, خيال علمي, نجاة"
5,Lethal Company,N/A,https://www.wifi4games.com/pc_games/Lethal_Company.html,تحميل لعبة ليثل كومباني Lethal Company,ليصلك كل جديد تابع قناتنا على تيليجرام,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,"اكشن, قتال, استراتيجية, رعب, مغامرات, السباق والسيارات, محاكاة الواقع, رياضة, ذكاء, تصويب, العاب قديمة, خفيفة و مسلية, خيال علمي, نجاة"
6,Manor Lords,N/A,https://www.wifi4games.com/pc_games/Manor_Lords.html,تحميل اللعبة الاستراتيجية مانور لوردز Manor Lords,ليصلك كل جديد تابع قناتنا على تيليجرام,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,"اكشن, قتال, استراتيجية, رعب, مغامرات, السباق والسيارات, محاكاة الواقع, رياضة, ذكاء, تصويب, العاب قديمة, خفيفة و مسلية, خيال علمي, نجاة"
7,Ghost of Tsushima DIRECTOR'S CUT,N/A,https://www.wifi4games.com/pc_games/Ghost_of_Tsushima_DIRECTOR'S_CUT.html,تحميل لعبة غوست أوف تسوشيما Ghost of Tsushima DIRECTOR'S CUT,ليصلك كل جديد تابع قناتنا على تيليجرام,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,"اكشن, قتال, استراتيجية, رعب, مغامرات, السباق والسيارات, محاكاة الواقع, رياضة, ذكاء, تصويب, العاب قديمة, خفيفة و مسلية, خيال علمي, نجاة"
8,FOUNDRY,N/A,https://www.wifi4games.com/pc_games/FOUNDRY.html,تحميل لعبة FOUNDRY,ليصلك كل جديد تابع قناتنا على تيليجرام,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,"اكشن, قتال, استراتيجية, رعب, مغامرات, السباق والسيارات, محاكاة الواقع, رياضة, ذكاء, تصويب, العاب قديمة, خفيفة و مسلية, خيال علمي, نجاة"
9,Drive Beyond Horizons,N/A,https://www.wifi4games.com/pc_games/Drive_Beyond_Horizons.html,تحميل لعبة Drive Beyond Horizons,ليصلك كل جديد تابع قناتنا على تيليجرام,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,"اكشن, قتال, استراتيجية, رعب, مغامرات, السباق والسيارات, محاكاة الواقع, رياضة, ذكاء, تصويب, العاب قديمة, خفيفة و مسلية, خيال علمي, نجاة"
10,DAY OF DRIFT,N/A,https://www.wifi4games.com/pc_games/DAY_OF_DRIFT.html,تحميل لعبة التفحيط DAY OF DRIFT,ليصلك كل جديد تابع قناتنا على تيليجرام,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,"اكشن, قتال, استراتيجية, رعب, مغامرات, السباق والسيارات, محاكاة الواقع, رياضة, ذكاء, تصويب, العاب قديمة, خفيفة و مسلية, خيال علمي, نجاة"
11,PEAK,N/A,https://www.wifi4games.com/pc_games/PEAK.html,تحميل لعبة التسلق PEAK,ليصلك كل جديد تابع قناتنا على تيليجرام,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,"اكشن, قتال, استراتيجية, رعب, مغامرات, السباق والسيارات, محاكاة الواقع, رياضة, ذكاء, تصويب, العاب قديمة, خفيفة و مسلية, خيال علمي, نجاة"
12,Space Engineers Warfare 2,N/A,https://www.wifi4games.com/pc_games/Space_Engineers_Warfare_2.html,تحميل لعبة مهندسين الفضاء Space Engineers Warfare 2,ليصلك كل جديد تابع قناتنا على تيليجرام,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,"اكشن, قتال, استراتيجية, رعب, مغامرات, السباق والسيارات, محاكاة الواقع, رياضة, ذكاء, تصويب, العاب قديمة, خفيفة و مسلية, خيال علمي, نجاة"
13,Bank Simulator,N/A,https://www.wifi4games.com/pc_games/Bank_Simulator.html,تحميل لعبة محاكي البنك Bank Simulator,ليصلك كل جديد تابع قناتنا على تيليجرام,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,"اكشن, قتال, استراتيجية, رعب, مغامرات, السباق والسيارات, محاكاة الواقع, رياضة, ذكاء, تصويب, العاب قديمة, خفيفة و مسلية, خيال علمي, نجاة"
14,Parcel Simulator,N/A,https://www.wifi4games.com/pc_games/Parcel_Simulator.html,تحميل لعبة محاكي الطرود Parcel Simulator,ليصلك كل جديد تابع قناتنا على تيليجرام,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,"اكشن, قتال, استراتيجية, رعب, مغامرات, السباق والسيارات, محاكاة الواقع, رياضة, ذكاء, تصويب, العاب قديمة, خفيفة و مسلية, خيال علمي, نجاة"
15,LEGO Builder's Journey,N/A,https://www.wifi4games.com/pc_games/LEGO_Builder's_Journey.html,تحميل لعبة الالغاز LEGO Builder's Journey,ليصلك كل جديد تابع قناتنا على تيليجرام,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,"اكشن, قتال, استراتيجية, رعب, مغامرات, السباق والسيارات, محاكاة الواقع, رياضة, ذكاء, تصويب, العاب قديمة, خفيفة و مسلية, خيال علمي, نجاة"
16,The Long Dark,N/A,https://www.wifi4games.com/pc_games/The_Long_Dark.html,تحميل لعبة The Long Dark,ليصلك كل جديد تابع قناتنا على تيليجرام,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,"اكشن, قتال, استراتيجية, رعب, مغامرات, السباق والسيارات, محاكاة الواقع, رياضة, ذكاء, تصويب, العاب قديمة, خفيفة و مسلية, خيال علمي, نجاة"
